Pays,site,local,feu,sexe,age,direct,typet,paspiet,nbpers,legalx,localcl,trarverp,feux,nbv,centre,comm,fpiet,nbvcl,
Canada,Victoria,NA,vert,Femme,2,5,1,1,1,1.00,9.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,tout
Canada,Victoria,NA,vert,Homme,1,1,1,1,1,1.00,9.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,tout
Canada,Victoria,NA,vert,Femme,1,2,1,1,2,1.00,9.00,0.00,0.00,2.00,0.00,0.00,1.00,2.00,tout
Canada,Victoria,NA,vert,Femme,2,1,1,1,2,1.00,9.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,tout
Canada,Victoria,NA,vert,Femme,2,2,1,1,1,1.00,9.00,0.00,0.00,2.00,0.00,0.00,1.00,2.00,tout
Canada,Victoria,NA,vert,Homme,2,5,1,1,2,1.00,9.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,tout
Canada,Victoria,NA,vert,Femme,2,6,1,1,2,1.00,9.00,0.00,0.00,2.00,0.00,0.00,1.00,2.00,tout
Canada,Victoria,NA,vert,Femme,1,4,1,1,2,1.00,9.00,0.00,0.00,2.00,0.00,0.00,1.00,2.00,tout
Canada,Victoria,NA,vert,Homme,1,4,2,0,1,1.00,9.00,1.00,0.00,2.00,0.00,0.00,1.00,2.00,tout
Canada,Victoria,NA,vert,Homme,1,2,2,0,2,1.00,9.00,1.00,0.00,2.00,0.00,0.00,1.00,2.00,tout
Canada,Victoria,NA,vert,Femme,1,3,2,0,2,1.00,9.00,1.00,0.00,1.00,0.00,0.00,1.00,1.00,tout
Canada,Victoria,NA,vert,Homme,1,7,4,0,2,1.00,9.00,1.00,0.00,1.00,0.00,0.00,1.00,1.00,tout
Canada,Victoria,NA,vert,Homme,1,8,1,1,1,1.00,9.00,0.00,0.00,2.00,0.00,0.00,1.00,2.00,tout
Canada,Victoria,NA,vert,Femme,1,4,1,1,1,1.00,9.00,0.00,0.00,2.00,0.00,0.00,1.00,2.00,tout
Canada,Victoria,NA,vert,Femme,1,7,1,1,2,1.00,9.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,tout
Canada,Victoria,NA,vert,Femme,1,3,2,0,2,1.00,9.00,1.00,0.00,1.00,0.00,0.00,1.00,1.00,tout
Canada,Victoria,NA,vert,Homme,1,5,2,0,2,1.00,9.00,1.00,0.00,1.00,0.00,0.00,1.00,1.00,tout
Canada,Victoria,NA,vert,Homme,1,4,1,1,2,1.00,9.00,0.00,0.00,2.00,0.00,0.00,1.00,2.00,tout
Canada,Victoria,NA,vert,Femme,1,6,1,1,1,1.00,9.00,0.00,0.00,2.00,0.00,0.00,1.00,2.00,tout
Canada,Victoria,NA,vert,Femme,1,2,1,0,1,1.00,9.00,0.00,0.00,2.00,0.00,0.00,1.00,2.00,tout
Canada,Victoria,NA,vert,Femme,1,7,1,1,2,1.00,9.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,tout
Canada,Victoria,NA,vert,Femme,1,6,2,0,1,1.00,9.00,1.00,0.00,2.00,0.00,0.00,1.00,2.00,tout
Canada,Victoria,NA,vert,Femme,1,4,2,0,1,1.00,9.00,1.00,0.00,2.00,0.00,0.00,1.00,2.00,tout
Canada,Victoria,NA,vert,Homme,1,7,1,0,1,1.00,9.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,tout
Canada,Victoria,NA,vert,Femme,1,8,1,1,2,1.00,9.00,0.00,0.00,2.00,0.00,0.00,1.00,2.00,tout
Canada,Victoria,NA,vert,Femme,1,7,1,1,2,1.00,9.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,tout
Canada,Victoria,NA,vert,Femme,1,2,2,0,1,1.00,9.00,1.00,0.00,2.00,0.00,0.00,1.00,2.00,tout
Canada,Victoria,NA,vert,Femme,1,6,1,1,2,1.00,9.00,0.00,0.00,2.00,0.00,0.00,1.00,2.00,tout
Canada,Victoria,NA,vert,Femme,1,1,1,0,2,1.00,9.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,tout
Canada,Victoria,NA,vert,Homme,1,2,1,1,1,1.00,9.00,0.00,0.00,2.00,0.00,0.00,1.00,2.00,tout
Canada,Victoria,NA,vert,Homme,1,8,1,1,1,1.00,9.00,0.00,0.00,2.00,0.00,0.00,1.00,2.00,tout
Canada,Victoria,NA,vert,Homme,1,7,1,1,1,1.00,9.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,tout
Canada,Victoria,NA,vert,Homme,1,4,1,1,2,1.00,9.00,0.00,0.00,2.00,0.00,0.00,1.00,2.00,tout
Canada,Victoria,NA,vert,Homme,1,1,1,1,2,1.00,9.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,tout
Canada,Victoria,NA,vert,Homme,1,1,1,0,1,1.00,9.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,tout
