time,imgId,pzebra,pizeb,pSpeed,pNb,A,B,C,D,E,notOnSidewalk,total
1,SALR,1,5,21,0,0,0,0,0,14,14,19
2,SALR,1,5,21,0,0,0,0,0,11,11,19
3,SALR,1,5,21,0,0,0,0,0,7,7,19
4,SALR,1,5,21,0,0,0,0,0,4,4,19
5,SALR,1,5,21,0,0,0,0,0,25,25,40
6,SALR,1,5,21,0,0,0,0,0,19,19,39
7,SALR,1,5,21,0,0,0,0,0,15,15,39
8,SALR,1,5,21,0,0,0,0,0,8,8,39
9,SALR,1,5,21,0,0,0,0,0,7,7,39
10,SALR,1,5,21,0,0,0,0,0,26,26,60
11,SALR,1,5,21,0,0,0,0,0,20,20,60
12,SALR,1,5,21,0,0,0,0,0,16,16,60
13,SALR,1,5,21,0,0,0,0,0,11,11,60
14,SALR,1,5,21,0,0,0,0,0,5,5,60
15,SALR,1,5,21,0,0,0,0,0,26,26,81
16,SALR,1,5,21,0,0,0,0,0,17,17,80
17,SALR,1,5,21,0,0,0,0,0,13,13,80
18,SALR,1,5,21,0,0,0,0,0,7,7,80
19,SALR,1,5,21,0,0,0,0,0,8,8,80
20,SALR,1,5,21,0,0,0,0,0,24,24,101
21,SALR,1,5,21,0,0,0,0,0,20,20,99
22,SALR,1,5,21,0,0,0,0,0,10,10,99
23,SALR,1,5,21,0,0,0,0,0,4,4,99
24,SALR,1,5,21,0,0,0,0,0,2,2,99
25,SALR,1,5,21,0,0,0,0,0,23,23,120
26,SALR,1,5,21,0,0,0,0,0,15,15,117
27,SALR,1,5,21,0,0,0,0,0,15,15,117
28,SALR,1,5,21,0,0,0,0,0,4,4,117
29,SALR,1,5,21,0,0,0,0,0,4,4,117
30,SALR,1,5,21,0,0,0,0,0,23,23,138
31,SALR,1,5,21,0,0,0,0,0,19,19,138
32,SALR,1,5,21,0,0,0,0,0,11,11,138
33,SALR,1,5,21,0,0,0,0,0,9,9,138
34,SALR,1,5,21,0,0,0,0,0,7,7,138
35,SALR,1,5,21,0,0,0,0,0,28,28,159
36,SALR,1,5,21,0,0,0,0,0,19,19,156
37,SALR,1,5,21,0,0,0,0,0,16,16,156
38,SALR,1,5,21,0,0,0,0,0,12,12,156
39,SALR,1,5,21,0,0,0,0,0,12,12,156
40,SALR,1,5,21,0,0,0,0,0,31,31,177
41,SALR,1,5,21,0,0,0,0,0,18,18,175
42,SALR,1,5,21,0,0,0,0,0,15,15,175
43,SALR,1,5,21,0,0,0,0,0,7,7,175
44,SALR,1,5,21,0,0,0,0,0,5,5,175
45,SALR,1,5,21,0,0,0,0,0,26,26,196
46,SALR,1,5,21,0,0,0,0,0,15,15,193
47,SALR,1,5,21,0,0,0,0,0,9,9,193
48,SALR,1,5,21,0,0,0,0,0,8,8,193
49,SALR,1,5,21,0,0,0,0,0,7,7,193
50,SALR,1,5,21,0,0,0,0,0,28,28,214
51,SALR,1,5,21,0,0,0,0,0,20,20,212
52,SALR,1,5,21,0,0,0,0,0,15,15,212
53,SALR,1,5,21,0,0,0,0,0,11,11,212
54,SALR,1,5,21,0,0,0,0,0,7,7,212
55,SALR,1,5,21,0,0,0,0,0,29,29,233
56,SALR,1,5,21,0,0,0,0,0,22,22,232
57,SALR,1,5,21,0,0,0,0,0,20,20,232
58,SALR,1,5,21,0,0,0,0,0,11,11,232
