time,imgId,pzebra,pizeb,pSpeed,pNb,A,B,C,D,E,notOnSidewalk,total
1,tolbiac-Italie,1,1,1,0,0,0,0,0,8,8,19
2,tolbiac-Italie,1,1,1,0,0,0,0,0,7,7,20
3,tolbiac-Italie,1,1,1,0,0,0,0,0,7,7,21
4,tolbiac-Italie,1,1,1,0,0,0,0,0,7,7,22
5,tolbiac-Italie,1,1,1,0,0,0,0,0,6,6,23
6,tolbiac-Italie,1,1,1,0,0,0,0,0,5,5,24
7,tolbiac-Italie,1,1,1,0,0,0,0,0,4,4,25
8,tolbiac-Italie,1,1,1,0,0,0,0,0,4,4,26
9,tolbiac-Italie,1,1,1,0,0,0,0,0,4,4,27
10,tolbiac-Italie,1,1,1,0,0,0,0,0,4,4,28
11,tolbiac-Italie,1,1,1,0,0,0,0,0,4,4,29
12,tolbiac-Italie,1,1,1,0,0,0,0,0,4,4,30
13,tolbiac-Italie,1,1,1,0,0,0,0,0,3,3,31
14,tolbiac-Italie,1,1,1,0,0,0,0,0,2,2,32
15,tolbiac-Italie,1,1,1,0,0,0,0,0,3,3,33
16,tolbiac-Italie,1,1,1,0,0,0,0,0,3,3,34
17,tolbiac-Italie,1,1,1,0,0,0,0,0,3,3,35
18,tolbiac-Italie,1,1,1,0,0,0,0,0,3,3,36
19,tolbiac-Italie,1,1,1,0,0,0,0,0,3,3,37
20,tolbiac-Italie,1,1,1,0,0,0,0,0,1,1,38
21,tolbiac-Italie,1,1,1,0,0,0,0,0,3,3,39
22,tolbiac-Italie,1,1,1,0,0,0,0,0,2,2,40
23,tolbiac-Italie,1,1,1,0,0,0,0,0,3,3,41
24,tolbiac-Italie,1,1,1,0,0,0,0,0,2,2,42
25,tolbiac-Italie,1,1,1,0,0,0,0,0,3,3,43
26,tolbiac-Italie,1,1,1,0,0,0,0,0,2,2,44
27,tolbiac-Italie,1,1,1,0,0,0,0,0,3,3,45
28,tolbiac-Italie,1,1,1,0,0,0,0,0,3,3,46
29,tolbiac-Italie,1,1,1,0,1,0,0,0,4,5,47
30,tolbiac-Italie,1,1,1,0,1,0,0,0,3,4,48
31,tolbiac-Italie,1,1,1,0,1,0,0,0,2,3,49
32,tolbiac-Italie,1,1,1,0,1,0,0,0,1,2,50
33,tolbiac-Italie,1,1,1,0,2,0,0,0,2,4,51
34,tolbiac-Italie,1,1,1,0,2,0,0,0,1,3,52
35,tolbiac-Italie,1,1,1,0,2,0,0,0,2,4,53
36,tolbiac-Italie,1,1,1,0,2,0,0,0,1,3,54
37,tolbiac-Italie,1,1,1,0,2,0,0,0,2,4,55
38,tolbiac-Italie,1,1,1,0,2,0,0,0,1,3,56
39,tolbiac-Italie,1,1,1,0,1,1,0,0,2,4,57
40,tolbiac-Italie,1,1,1,0,1,1,0,0,2,4,58
41,tolbiac-Italie,1,1,1,0,1,1,0,0,3,5,59
42,tolbiac-Italie,1,1,1,0,1,1,0,0,2,4,59
43,tolbiac-Italie,1,1,1,0,1,1,0,0,3,5,60
44,tolbiac-Italie,1,1,1,0,1,1,0,0,2,4,61
45,tolbiac-Italie,1,1,1,0,1,1,0,0,3,5,62
46,tolbiac-Italie,1,1,1,0,1,1,0,0,2,4,63
47,tolbiac-Italie,1,1,1,0,1,1,0,0,3,5,64
48,tolbiac-Italie,1,1,1,0,1,1,0,0,3,5,65
49,tolbiac-Italie,1,1,1,0,1,1,0,0,4,6,66
50,tolbiac-Italie,1,1,1,0,1,1,0,0,2,4,67
51,tolbiac-Italie,1,1,1,0,1,1,1,0,4,7,68
52,tolbiac-Italie,1,1,1,0,1,1,1,0,3,6,69
53,tolbiac-Italie,1,1,1,0,1,0,1,1,4,7,70
54,tolbiac-Italie,1,1,1,0,1,0,1,1,3,6,71
55,tolbiac-Italie,1,1,1,0,1,0,1,1,5,8,72
56,tolbiac-Italie,1,1,1,0,1,0,2,1,4,8,73
57,tolbiac-Italie,1,1,1,0,0,0,3,1,5,9,74
58,tolbiac-Italie,1,1,1,0,0,0,3,1,5,9,75
59,tolbiac-Italie,1,1,1,0,0,0,3,1,5,9,76
60,tolbiac-Italie,1,1,1,0,2,0,2,1,4,9,77
61,tolbiac-Italie,1,1,1,0,2,0,2,1,5,10,78
62,tolbiac-Italie,1,1,1,0,2,0,2,1,5,10,79
63,tolbiac-Italie,1,1,1,0,2,0,2,1,5,10,80
64,tolbiac-Italie,1,1,1,0,2,0,2,1,4,9,81
65,tolbiac-Italie,1,1,1,0,2,1,1,1,4,9,82
66,tolbiac-Italie,1,1,1,0,2,1,1,1,4,9,83
67,tolbiac-Italie,1,1,1,0,1,2,1,1,5,10,84
68,tolbiac-Italie,1,1,1,0,1,2,1,1,4,9,85
69,tolbiac-Italie,1,1,1,0,3,2,0,1,5,11,86
70,tolbiac-Italie,1,1,1,0,3,2,0,1,4,10,87
71,tolbiac-Italie,1,1,1,0,3,2,0,1,5,11,88
72,tolbiac-Italie,1,1,1,0,3,2,0,1,4,10,88
73,tolbiac-Italie,1,1,1,0,3,2,0,1,5,11,89
74,tolbiac-Italie,1,1,1,0,3,2,0,1,4,10,90
75,tolbiac-Italie,1,1,1,0,3,2,0,1,6,12,91
76,tolbiac-Italie,1,1,1,0,3,2,0,1,4,10,91
77,tolbiac-Italie,1,1,1,0,3,2,0,0,6,11,92
78,tolbiac-Italie,1,1,1,0,3,2,0,0,4,9,93
79,tolbiac-Italie,1,1,1,0,3,2,0,0,4,9,94
80,tolbiac-Italie,1,1,1,0,3,2,0,1,2,8,95
81,tolbiac-Italie,1,1,1,0,3,2,0,1,4,10,96
82,tolbiac-Italie,1,1,1,0,3,2,0,1,4,10,97
83,tolbiac-Italie,1,1,1,0,3,2,0,1,4,10,98
84,tolbiac-Italie,1,1,1,0,3,2,0,1,3,9,99
85,tolbiac-Italie,1,1,1,0,3,2,0,1,4,10,100
86,tolbiac-Italie,1,1,1,0,3,2,0,1,3,9,101
87,tolbiac-Italie,1,1,1,0,3,2,0,1,4,10,102
88,tolbiac-Italie,1,1,1,0,3,2,0,1,3,9,103
89,tolbiac-Italie,1,1,1,0,3,2,0,1,2,8,104
90,tolbiac-Italie,1,1,1,0,3,2,0,1,2,8,105
91,tolbiac-Italie,1,1,1,0,5,2,0,1,2,10,106
92,tolbiac-Italie,1,1,1,0,5,2,0,1,1,9,107
93,tolbiac-Italie,1,1,1,0,5,2,0,1,2,10,108
94,tolbiac-Italie,1,1,1,0,5,2,0,1,1,9,109
95,tolbiac-Italie,1,1,1,0,1,2,3,1,3,10,110
96,tolbiac-Italie,1,1,1,0,1,1,3,2,1,8,111
97,tolbiac-Italie,1,1,1,0,1,1,3,2,2,9,112
98,tolbiac-Italie,1,1,1,0,1,1,2,3,1,8,113
99,tolbiac-Italie,1,1,1,0,1,3,2,1,3,10,114
100,tolbiac-Italie,1,1,1,0,1,3,2,1,2,9,115
101,tolbiac-Italie,1,1,1,0,0,4,2,1,3,10,116
102,tolbiac-Italie,1,1,1,0,0,4,2,1,3,10,117
103,tolbiac-Italie,1,1,1,0,0,4,2,1,4,11,118
104,tolbiac-Italie,1,1,1,0,0,3,2,2,3,10,119
105,tolbiac-Italie,1,1,1,0,0,2,2,2,5,11,120
106,tolbiac-Italie,1,1,1,0,0,2,2,2,4,10,121
107,tolbiac-Italie,1,1,1,0,0,2,2,2,5,11,122
108,tolbiac-Italie,1,1,1,0,0,2,1,2,5,10,123
109,tolbiac-Italie,1,1,1,0,0,2,1,2,6,11,124
110,tolbiac-Italie,1,1,1,0,0,2,0,2,5,9,125
111,tolbiac-Italie,1,1,1,0,0,2,0,1,6,9,126
112,tolbiac-Italie,1,1,1,0,0,2,0,1,4,7,127
113,tolbiac-Italie,1,1,1,0,0,2,0,1,5,8,128
114,tolbiac-Italie,1,1,1,0,0,2,0,1,3,6,128
115,tolbiac-Italie,1,1,1,0,0,2,0,1,4,7,129
116,tolbiac-Italie,1,1,1,0,0,2,0,1,3,6,130
117,tolbiac-Italie,1,1,1,0,0,2,0,1,3,6,131
118,tolbiac-Italie,1,1,1,0,1,2,1,1,3,8,132
119,tolbiac-Italie,1,1,1,0,1,2,1,1,3,8,133
120,tolbiac-Italie,1,1,1,0,1,2,1,1,3,8,134
121,tolbiac-Italie,1,1,1,0,1,3,1,0,3,8,135
122,tolbiac-Italie,1,1,1,0,1,3,1,0,3,8,136
123,tolbiac-Italie,1,1,1,0,1,1,1,2,3,8,137
124,tolbiac-Italie,1,1,1,0,1,2,1,1,3,8,138
125,tolbiac-Italie,1,1,1,0,1,1,1,2,4,9,139
126,tolbiac-Italie,1,1,1,0,1,2,1,1,3,8,139
127,tolbiac-Italie,1,1,1,0,1,2,1,1,3,8,140
128,tolbiac-Italie,1,1,1,0,0,2,1,1,4,8,141
129,tolbiac-Italie,1,1,1,0,0,2,1,1,4,8,142
130,tolbiac-Italie,1,1,1,0,0,2,1,1,5,9,142
131,tolbiac-Italie,1,1,1,0,0,2,2,1,3,8,141
132,tolbiac-Italie,1,1,1,0,0,3,2,0,4,9,142
133,tolbiac-Italie,1,1,1,0,4,3,2,0,5,14,143
134,tolbiac-Italie,1,1,1,0,4,3,2,0,6,15,144
135,tolbiac-Italie,1,1,1,0,3,4,2,0,7,16,145
136,tolbiac-Italie,1,1,1,0,3,4,2,0,6,15,145
137,tolbiac-Italie,1,1,1,0,4,2,2,0,5,13,146
138,tolbiac-Italie,1,1,1,0,4,2,2,0,5,13,147
139,tolbiac-Italie,1,1,1,0,9,2,1,0,4,16,147
140,tolbiac-Italie,1,1,1,0,9,3,1,0,4,17,148
141,tolbiac-Italie,1,1,1,0,9,3,1,0,6,19,149
142,tolbiac-Italie,1,1,1,0,10,4,1,0,5,20,150
143,tolbiac-Italie,1,1,1,0,9,5,1,0,6,21,151
144,tolbiac-Italie,1,1,1,0,8,5,1,0,7,21,152
145,tolbiac-Italie,1,1,1,0,8,5,1,0,7,21,152
146,tolbiac-Italie,1,1,1,0,8,5,1,0,5,19,153
147,tolbiac-Italie,1,1,1,0,7,6,1,0,7,21,154
148,tolbiac-Italie,1,1,1,0,8,5,1,0,6,20,155
149,tolbiac-Italie,1,1,1,0,8,5,1,0,5,19,156
150,tolbiac-Italie,1,1,1,0,8,5,1,0,3,17,157
151,tolbiac-Italie,1,1,1,0,8,3,1,0,7,19,158
152,tolbiac-Italie,1,1,1,0,7,4,1,0,4,16,158
153,tolbiac-Italie,1,1,1,0,6,3,1,0,6,16,159
154,tolbiac-Italie,1,1,1,0,5,4,1,0,5,15,160
155,tolbiac-Italie,1,1,1,0,5,4,1,0,6,16,161
156,tolbiac-Italie,1,1,1,0,5,3,1,0,7,16,162
157,tolbiac-Italie,1,1,1,0,4,3,1,0,7,15,161
158,tolbiac-Italie,1,1,1,0,5,3,2,0,6,16,162
159,tolbiac-Italie,1,1,1,0,6,3,2,0,8,19,163
160,tolbiac-Italie,1,1,1,0,6,3,2,0,8,19,164
161,tolbiac-Italie,1,1,1,0,6,3,2,0,9,20,165
162,tolbiac-Italie,1,1,1,0,6,3,2,0,10,21,166
163,tolbiac-Italie,1,1,1,0,5,3,2,0,7,17,167
164,tolbiac-Italie,1,1,1,0,5,3,2,0,8,18,168
165,tolbiac-Italie,1,1,1,0,1,2,6,1,8,18,169
166,tolbiac-Italie,1,1,1,0,1,2,5,1,8,17,170
167,tolbiac-Italie,1,1,1,0,1,2,5,2,7,17,171
168,tolbiac-Italie,1,1,1,0,1,2,4,1,8,16,171
169,tolbiac-Italie,1,1,1,0,4,2,3,1,8,18,171
170,tolbiac-Italie,1,1,1,0,5,2,4,1,8,20,172
171,tolbiac-Italie,1,1,1,0,5,2,4,1,8,20,173
172,tolbiac-Italie,1,1,1,0,5,3,5,1,8,22,174
173,tolbiac-Italie,1,1,1,0,5,3,5,1,9,23,175
