"Carrefour","Réponses","Seul","2 personnes","3-5 personnes","6 personnes et plus","Vert","Clignotant","Rouge","Oui","Non","Trottoir","Chaussée","Terre-plein/refuge/2 temps","Piste cyclable","Ne s'applique pas","Homme","Femme","15-19 ans","20-34 ans","35-64 ans","65 ans et plus","Schéma","Oui","Non","Ligne droite","Diagonale","Autres (préciser)","Trottoir","Terre-plein","Autres",0,"1-5 personnes","Plus de 5 personnes","Plus de 20 personnes","Mouvement tête avant","Mouvement tête pendant","Course (accélaration)","Hésitation","Aucune attention","Dispositif visuel (journal…)","Dispositif auditif (tél, casque…)",,
"CF",1,1,,,,,,1,,1,,,,,1,,1,,,1,,"CF5",1,,,1,,,,1,1,,,,,1,,,,,,,
"CF",2,1,,,,,,1,,1,1,,,,,1,,,1,,,"CF1",1,,1,,,1,,,1,,,,1,,,,,,,,
"CF",3,1,,,,1,,,1,,1,,,,,1,,,,,1,"CF5",1,,1,,,1,,,1,,,,1,,,,,,,,
"CF",4,,1,,,1,,,1,,1,,,,,,1,,,,1,"CF1",1,,1,,,1,,,1,,,,1,1,,,,,,,
"CF",5,1,,,,1,,,1,,1,,,,,,1,,,,1,"CF1",1,,,1,,1,,,1,,,,1,,,,,,,,
"CF",6,1,,,,1,,,1,,1,,,,,,1,,1,,,"CF1",1,,1,,,1,,,,1,,,1,,1,,,,,,
"CF",7,1,,,,1,,,1,,1,,,,,1,,,1,,,"CF1",1,,1,,,1,,,,1,,,1,,,,,,,,
"CF",8,,1,,,1,,,1,,,,,,1,1,,,,1,,"CF1",1,,1,,,1,,,1,,,,1,,,,,,,,
"CF",9,,1,,,1,,,1,,1,,,,,1,,,,,1,"CF5",1,,1,,,1,,,1,,,,1,,,,,,,,
"CF",10,,,1,,1,,,1,,,,,,1,1,,,1,,,"CF5",1,,1,,,1,,,1,,,,,,,,1,,,,
"CF",11,1,,,,1,,,1,,,1,,,,,1,,1,,,"CF5",1,,1,,,1,,,1,,,,1,,,1,,,,,
"CF",12,1,,,,1,,,1,,1,,,,,,1,,,1,,"CF5",1,,1,,,1,,,1,,,,1,,,,,,,,
"CF",13,1,,,,,,1,,1,,,,,1,1,,,,1,,"CF5",1,,1,,,1,,,1,,,,1,,,,,,,,
"CF",14,1,,,,1,,,1,,,,,,1,,1,,,,1,"CF1",1,,1,,,1,,,1,,,,1,,,,,,,,
"CF",15,1,,,,,,1,,1,,,,,1,1,,,1,,,"CF1",1,,1,,,1,,,1,,,,,1,,,,,,,
"CF",16,1,,,,1,,,1,,1,,,,,,1,,,1,,"CF1",1,,1,,,1,,,1,,,,1,,,,,,,,
"CF",17,1,,,,,,1,,1,,1,,,,1,,,1,,,"CF1",1,,1,,,1,,,1,,,,1,,,,,,,,
"CF",18,1,,,,,,1,,1,1,,,,,,1,,1,,,"CF5",1,,1,,,1,,,1,,,,1,,,,,,,,
"CF",19,,,1,,,,1,,1,,1,,,,,1,,,,1,"CF1",1,,1,,,1,,,,1,,,1,,,,,,,,
"CF",20,1,,,,,,1,,1,1,,,,,1,,,1,,,"CF5",,1,,,1,,,1,,1,,,1,1,,,,,,,
"CF",21,1,,,,1,,,1,,,,,,1,1,,,,1,,"CF5",1,,,,1,1,,,1,,,,,1,,,,,,,
"CF",22,1,,,,1,,,1,,1,,,,,,1,,,1,,"CF1",1,,1,,,1,,,1,,,,1,,,,,,,,
"CF",23,1,,,,,,1,,1,1,,,,,,1,,,,1,"CF5",1,,1,,,1,,,1,,,,1,1,,,,,,,
"CF",24,,1,,,1,,,1,,1,,,,,,1,,1,,,"CF5",1,,1,,,1,,,1,,,,1,,,,,,,,
"CF",25,1,,,,1,,,1,,1,,,,,,1,,1,,,"CF5",1,,1,,,1,,,1,,,,1,1,,,,,,,
"CF",26,,,1,,1,,,1,,1,,,,,1,,,,1,,"CF5",1,,1,,,1,,,,1,,,1,,,,,,,,
"CF",27,1,,,,,,1,,1,1,,,,,,1,,1,,,"CF1",1,,1,,,1,,,1,,,,,,,,,,1,,
"CF",28,1,,,,1,,,1,,1,,,,,,1,,,,1,"CF5",1,,1,,,1,,,1,,,,1,,,,,,,,
"CF",29,1,,,,,,1,,1,1,,,,,,1,,1,,,"CF1",,1,,1,,,,1,1,,,,1,,,,,,,,
"CF",30,,,1,,,,1,,1,1,,,,,1,,,1,,,"CF1",,1,,1,,,,1,1,,,,1,,,,,,,,
"CF",31,1,,,,1,,,1,,1,,,,,1,,,,1,,"CF5",1,,1,,,1,,,1,,,,1,,,,,,,,
"CF",32,,1,,,1,,,1,,1,,,,,,1,,,1,,"CF5",1,,1,,,1,,,1,,,,1,,,,,,,,
"CF",33,1,,,,1,,,1,,1,,,,,1,,,,,1,"CF5",1,,1,,,1,,,1,,,,,,,,1,,,,
"CF",34,1,,,,1,,,1,,1,,,,,,1,,,1,,"CF5",1,,1,,,1,,,1,,,,1,,,,,,,,
"CF",35,,1,,,1,,,1,,1,,,,,,1,,,,1,"CF5",1,,,1,,,,1,1,,,,1,,,,,,,,
"CF",36,1,,,,,,1,,1,,,,,1,1,,,,1,,"CF5",1,,1,,,1,,,1,,,,,1,,,,,,,
"CF",37,1,,,,1,,,1,,,,,,1,,1,,,1,,"CF5",,1,,1,,1,,,1,,,,,1,,,,,,,
"CF",38,,1,,,1,,,1,,1,,,,,,1,,,,1,"CF5",1,,1,,,1,,,1,,,,1,,,,,,,,
"CF",39,1,,,,1,,,1,,1,,,,,,1,,,,1,"CF5",1,,,,1,1,,,1,,,,,,,,1,,,,
"CF",40,,1,,,1,,,1,,1,,,,,,1,,,1,,"CF1",1,,1,,,1,,,1,1,,,1,,,,,,,,
"CF",41,1,,,,,,1,,1,1,,,,,,1,,,,1,"CF1",1,,1,,,1,,,1,,,,,1,,,,,1,,
"CF",42,,,1,,1,,,1,,1,,,,,,,,,,1,"CF5",1,,1,,,1,,,,2,,,1,,,,,,,,
"CF",43,1,,,,,,1,,1,1,,,,,,1,,1,,,"CF5",1,,1,,,1,,,1,,,,1,,,,,,,,
"CF",44,1,,,,,,1,,1,1,,,,,,1,1,,,,"CF5",1,,1,,,1,,,1,,,,1,,,1,,,,,
"CF",45,1,,,,,,1,,1,,1,,,,,1,,1,,,"CF1",1,,1,,,1,,,,1,,,1,1,,,,,,,
"CF",46,1,,,,,,1,,1,1,,,,,1,,,,1,,"CF1",1,,1,,,1,,,,1,,,1,,,1,,,,,
"CF",47,1,,,,,,1,,1,,1,,,,,1,,1,,,"CF1",1,,1,,,1,,,,1,,,1,,1,,,,,,
"CF",48,,1,,,1,,,1,,1,,,,,1,,,,1,,"CF1",1,,1,,,1,,,,,1,,1,,,,,,,,
"CF",49,1,,,,,,1,,1,,,,,1,1,,,,1,,"CF1",,1,,,1,1,,,1,,,,,,,,,1,,,
"CF",50,1,,,,,,1,,1,1,,,,,,1,,1,,,"CF5",1,,1,,,1,,,1,,,,1,,,,,,1,,
"CF",51,1,,,,,,1,,1,,,,,1,,1,,1,,,"CF1",1,,1,,,1,,,1,,,,1,,,,,,,,
"CF",52,1,,,,1,,,1,,,,,,1,,1,,,1,,"CF5",,1,,1,,1,,,1,,,,1,1,,,,,,,
"CF",53,1,,,,,,1,,1,,1,,,,1,,,1,,,"CF1",,1,,1,,1,,,1,,,,1,1,1,,,,,,
"CF",54,1,,,,1,,,1,,,,,,1,1,,,,1,,"CF5",1,,,1,,1,,,1,,,,1,1,,,,,,,
"CF",55,1,,,,,,1,1,,,1,,,,,1,,1,,,"CF5",1,,1,,,1,,,,1,,,1,,,,,,,,
"CF",56,,1,,,,,1,,1,,,,,1,,1,,1,,,"CF5",1,,,1,,1,,,1,,,,1,,,,,,,,
